player_id,player_name,gender,country,birth_year,official_rank,live_rank,official_points,live_points,points_change_vs_official,detail_type,event_type,slot,source_type,tournament_name,category,round,start_date,points_raw,points_weighted,status,drop_info,raw
800765326,Komang Bagus Wahyu Purustama,M,INA,,,681,,5,5,BEST_COUNTING_RESULT,singles,1,LIVE,J30 Sukoharjo,J30,R16,2026-06-01,5,5,,drop,5 pts | LIVE | J30 | R16 | J30 Sukoharjo | 2026-06-01 | drop
800765326,Komang Bagus Wahyu Purustama,M,INA,,,681,,5,5,LIVE_WEEK_RESULT,singles,,LIVE,J30 Sukoharjo,J30,R16,2026-06-01,5,5,still_alive_or_champion,,"{""tournament_key"":""J-J30-INA-2026-002"",""tournament_name"":""J30 Sukoharjo"",""category"":""J30"",""start_date"":""2026-06-01"",""end_date"":""2026-06-07"",""player_id"":""800765326"",""player_name"":""Komang Bagus Wahyu Purustama"",""nationality"":""INA"",""player_type_code"":""B"",""player_type_desc"":""Boys"",""event_type"":""singles"",""event_classification"":""main_draw"",""matches_played"":""1"",""wins"":""1"",""losses"":""0"",""highest_round_order"":""2"",""highest_round_name"":""2nd Round"",""total_rounds_in_draw"":5,""calculated_round_label"":""R16"",""status"":""still_alive_or_champion"",""live_points_raw"":5,""live_points_weighted"":5,""collected_at"":""2026-06-03T03:36:09.870Z""}"
800779016,kriday ghai,M,IND,,,681,,5,5,BEST_COUNTING_RESULT,singles,1,LIVE,J60 Baku,J60,R32,2026-06-02,5,5,,drop,5 pts | LIVE | J60 | R32 | J60 Baku | 2026-06-02 | drop
800779016,kriday ghai,M,IND,,,681,,5,5,LIVE_WEEK_RESULT,singles,,LIVE,J60 Baku,J60,R32,2026-06-02,5,5,eliminated,,"{""tournament_key"":""J-J60-AZE-2026-001"",""tournament_name"":""J60 Baku"",""category"":""J60"",""start_date"":""2026-06-02"",""end_date"":""2026-06-07"",""player_id"":""800779016"",""player_name"":""kriday ghai"",""nationality"":""IND"",""player_type_code"":""B"",""player_type_desc"":""Boys"",""event_type"":""singles"",""event_classification"":""main_draw"",""matches_played"":""1"",""wins"":""0"",""losses"":""1"",""highest_round_order"":""1"",""highest_round_name"":""1st Round"",""total_rounds_in_draw"":5,""calculated_round_label"":""R32"",""status"":""eliminated"",""live_points_raw"":5,""live_points_weighted"":5,""collected_at"":""2026-06-03T03:36:09.871Z""}"
800732662,Liam Youn,M,NZL,,,681,,5,5,BEST_COUNTING_RESULT,singles,1,LIVE,J60 Miki City,J60,R32,2026-06-03,5,5,,drop,5 pts | LIVE | J60 | R32 | J60 Miki City | 2026-06-03 | drop
800732662,Liam Youn,M,NZL,,,681,,5,5,LIVE_WEEK_RESULT,singles,,LIVE,J60 Miki City,J60,R32,2026-06-03,5,5,not_started_or_unknown,,"{""tournament_key"":""J-J60-JPN-2026-002"",""tournament_name"":""J60 Miki City"",""category"":""J60"",""start_date"":""2026-06-03"",""end_date"":""2026-06-07"",""player_id"":""800732662"",""player_name"":""Liam Youn"",""nationality"":""NZL"",""player_type_code"":""B"",""player_type_desc"":""Boys"",""event_type"":""singles"",""event_classification"":""main_draw"",""matches_played"":""0"",""wins"":""0"",""losses"":""0"",""highest_round_order"":""1"",""highest_round_name"":""1st Round"",""total_rounds_in_draw"":5,""calculated_round_label"":""R32"",""status"":""not_started_or_unknown"",""live_points_raw"":5,""live_points_weighted"":5,""collected_at"":""2026-06-03T03:36:09.873Z""}"
800648011,Lukas Lita,M,GER,,,681,,5,5,BEST_COUNTING_RESULT,singles,1,LIVE,J60 Gdansk,J60,R32,2026-06-03,5,5,,drop,5 pts | LIVE | J60 | R32 | J60 Gdansk | 2026-06-03 | drop
800648011,Lukas Lita,M,GER,,,681,,5,5,LIVE_WEEK_RESULT,singles,,LIVE,J60 Gdansk,J60,R32,2026-06-03,5,5,not_started_or_unknown,,"{""tournament_key"":""J-J60-POL-2026-004"",""tournament_name"":""J60 Gdansk"",""category"":""J60"",""start_date"":""2026-06-03"",""end_date"":""2026-06-07"",""player_id"":""800648011"",""player_name"":""Lukas Lita"",""nationality"":""GER"",""player_type_code"":""B"",""player_type_desc"":""Boys"",""event_type"":""singles"",""event_classification"":""main_draw"",""matches_played"":""0"",""wins"":""0"",""losses"":""0"",""highest_round_order"":""1"",""highest_round_name"":""1st Round"",""total_rounds_in_draw"":5,""calculated_round_label"":""R32"",""status"":""not_started_or_unknown"",""live_points_raw"":5,""live_points_weighted"":5,""collected_at"":""2026-06-03T03:36:09.873Z""}"
800697061,Lukasz Andrzej Maliszewski,M,POL,,,681,,5,5,BEST_COUNTING_RESULT,singles,1,LIVE,J60 Gdansk,J60,R32,2026-06-03,5,5,,drop,5 pts | LIVE | J60 | R32 | J60 Gdansk | 2026-06-03 | drop
800697061,Lukasz Andrzej Maliszewski,M,POL,,,681,,5,5,LIVE_WEEK_RESULT,singles,,LIVE,J60 Gdansk,J60,R32,2026-06-03,5,5,not_started_or_unknown,,"{""tournament_key"":""J-J60-POL-2026-004"",""tournament_name"":""J60 Gdansk"",""category"":""J60"",""start_date"":""2026-06-03"",""end_date"":""2026-06-07"",""player_id"":""800697061"",""player_name"":""Lukasz Andrzej Maliszewski"",""nationality"":""POL"",""player_type_code"":""B"",""player_type_desc"":""Boys"",""event_type"":""singles"",""event_classification"":""main_draw"",""matches_played"":""0"",""wins"":""0"",""losses"":""0"",""highest_round_order"":""1"",""highest_round_name"":""1st Round"",""total_rounds_in_draw"":5,""calculated_round_label"":""R32"",""status"":""not_started_or_unknown"",""live_points_raw"":5,""live_points_weighted"":5,""collected_at"":""2026-06-03T03:36:09.873Z""}"
800779343,Lukman Praditya Nugroho,M,INA,,,681,,5,5,BEST_COUNTING_RESULT,singles,1,LIVE,J30 Sukoharjo,J30,R16,2026-06-01,5,5,,drop,5 pts | LIVE | J30 | R16 | J30 Sukoharjo | 2026-06-01 | drop
800779343,Lukman Praditya Nugroho,M,INA,,,681,,5,5,LIVE_WEEK_RESULT,singles,,LIVE,J30 Sukoharjo,J30,R16,2026-06-01,5,5,still_alive_or_champion,,"{""tournament_key"":""J-J30-INA-2026-002"",""tournament_name"":""J30 Sukoharjo"",""category"":""J30"",""start_date"":""2026-06-01"",""end_date"":""2026-06-07"",""player_id"":""800779343"",""player_name"":""Lukman Praditya Nugroho"",""nationality"":""INA"",""player_type_code"":""B"",""player_type_desc"":""Boys"",""event_type"":""singles"",""event_classification"":""main_draw"",""matches_played"":""1"",""wins"":""1"",""losses"":""0"",""highest_round_order"":""2"",""highest_round_name"":""2nd Round"",""total_rounds_in_draw"":5,""calculated_round_label"":""R16"",""status"":""still_alive_or_champion"",""live_points_raw"":5,""live_points_weighted"":5,""collected_at"":""2026-06-03T03:36:09.870Z""}"
800670740,M Alfaradu Sumirat,M,INA,,,681,,5,5,BEST_COUNTING_RESULT,singles,1,LIVE,J30 Sukoharjo,J30,R16,2026-06-01,5,5,,drop,5 pts | LIVE | J30 | R16 | J30 Sukoharjo | 2026-06-01 | drop
800670740,M Alfaradu Sumirat,M,INA,,,681,,5,5,LIVE_WEEK_RESULT,singles,,LIVE,J30 Sukoharjo,J30,R16,2026-06-01,5,5,still_alive_or_champion,,"{""tournament_key"":""J-J30-INA-2026-002"",""tournament_name"":""J30 Sukoharjo"",""category"":""J30"",""start_date"":""2026-06-01"",""end_date"":""2026-06-07"",""player_id"":""800670740"",""player_name"":""M Alfaradu Sumirat"",""nationality"":""INA"",""player_type_code"":""B"",""player_type_desc"":""Boys"",""event_type"":""singles"",""event_classification"":""main_draw"",""matches_played"":""1"",""wins"":""1"",""losses"":""0"",""highest_round_order"":""2"",""highest_round_name"":""2nd Round"",""total_rounds_in_draw"":5,""calculated_round_label"":""R16"",""status"":""still_alive_or_champion"",""live_points_raw"":5,""live_points_weighted"":5,""collected_at"":""2026-06-03T03:36:09.870Z""}"
800707309,Maksymilian Puchalski,M,POL,,,681,,5,5,BEST_COUNTING_RESULT,singles,1,LIVE,J60 Gdansk,J60,R32,2026-06-03,5,5,,drop,5 pts | LIVE | J60 | R32 | J60 Gdansk | 2026-06-03 | drop
800707309,Maksymilian Puchalski,M,POL,,,681,,5,5,LIVE_WEEK_RESULT,singles,,LIVE,J60 Gdansk,J60,R32,2026-06-03,5,5,not_started_or_unknown,,"{""tournament_key"":""J-J60-POL-2026-004"",""tournament_name"":""J60 Gdansk"",""category"":""J60"",""start_date"":""2026-06-03"",""end_date"":""2026-06-07"",""player_id"":""800707309"",""player_name"":""Maksymilian Puchalski"",""nationality"":""POL"",""player_type_code"":""B"",""player_type_desc"":""Boys"",""event_type"":""singles"",""event_classification"":""main_draw"",""matches_played"":""0"",""wins"":""0"",""losses"":""0"",""highest_round_order"":""1"",""highest_round_name"":""1st Round"",""total_rounds_in_draw"":5,""calculated_round_label"":""R32"",""status"":""not_started_or_unknown"",""live_points_raw"":5,""live_points_weighted"":5,""collected_at"":""2026-06-03T03:36:09.873Z""}"
800665720,Mao Tazuru,M,JPN,,,681,,5,5,BEST_COUNTING_RESULT,singles,1,LIVE,J60 Miki City,J60,R32,2026-06-03,5,5,,drop,5 pts | LIVE | J60 | R32 | J60 Miki City | 2026-06-03 | drop
